,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,5.635336825624108
mean_L_list,"[0.0, 0.4043872018329942, 0.4303955102870003, 0.430408396040901, 0.4304083961096912, 0.4304083961096912]"
mean_U_list,"[0.44277777777777777, 0.4322265219495328, 0.43150558468495837, 0.43082120141123426, 0.43037879123511763, 0.43026619542465416]"
